tiempo,horas de ensayo,30 AN,30 BN,30 CN,73 AN,73 BN,73 CN,17 AN,17 BN,17 CN,BCO A,BCO B,BCO C,BCO D
0,0.00,0.015,0.008,0.038,0.007,0.001,0.001,0.010,0.010,0.002,0.010,0.010,0.010,0.020
1,13.00,0.038,0.017,0.138,0.028,0.030,0.041,0.051,0.049,0.050,0.007,0.007,0.007,0.008
2,16.50,0.052,0.025,0.191,0.067,0.056,0.117,0.087,0.078,0.090,0.008,0.107,0.006,0.006
3,20.63,0.084,0.049,0.266,0.204,0.155,0.226,0.146,0.129,0.122,0.008,0.028,0.007,0.007
4,24.60,0.107,0.043,0.348,0.484,0.372,0.416,0.232,0.200,0.051,0.010,0.020,0.009,0.009
5,37.27,0.368,0.116,1.328,2.044,2.024,2.660,0.876,0.600,0.608,0.128,-0.005,-0.005,-0.005
6,41.20,0.472,0.192,1.516,1.976,2.384,2.712,1.216,0.836,0.816,0.179,0.090,0.001,0.001
7,44.60,0.724,0.292,1.429,1.636,2.678,2.724,1.360,1.056,1.240,0.045,0.119,0.012,
8,48.43,1.232,0.628,2.392,2.408,2.368,2.352,1.896,1.780,1.688,0.110,0.094,0.002,0.017
9,61.41,2.388,1.516,3.092,0.860,1.188,0.832,3.316,3.544,2.800,0.157,0.097,0.004,0.004
10,65.20,2.980,1.916,3.016,0.888,1.256,0.776,3.480,3.932,2.804,0.011,0.056,0.008,0.008
11,70.65,3.184,2.540,2.848,0.920,1.472,0.856,3.312,3.572,3.492,0.008,0.010,0.015,0.014
